"","Direccion","Separacion","n","nYes","nNo","p","observadores","condicion","grupo"
"422","0",5,7,4,3,0.571428571428571,"aaf","pos","cl"
"423","0",8,13,8,5,0.615384615384615,"aaf","pos","cl"
"424","0",11,9,2,7,0.222222222222222,"aaf","pos","cl"
"425","0",14,15,7,8,0.466666666666667,"aaf","pos","cl"
"426","0",17,14,2,12,0.142857142857143,"aaf","pos","cl"
"427","0",20,17,1,16,0.0588235294117647,"aaf","pos","cl"
"428","135",3,14,5,9,0.357142857142857,"aaf","pos","cl"
"429","135",5,11,5,6,0.454545454545455,"aaf","pos","cl"
"430","135",8,12,8,4,0.666666666666667,"aaf","pos","cl"
"431","135",11,16,8,8,0.5,"aaf","pos","cl"
"432","135",14,10,5,5,0.5,"aaf","pos","cl"
"433","135",17,11,2,9,0.181818181818182,"aaf","pos","cl"
"434","135",20,10,3,7,0.3,"aaf","pos","cl"
"435","45",3,13,8,5,0.615384615384615,"aaf","pos","cl"
"436","45",5,16,6,10,0.375,"aaf","pos","cl"
"437","45",8,14,4,10,0.285714285714286,"aaf","pos","cl"
"438","45",11,8,3,5,0.375,"aaf","pos","cl"
"439","45",14,14,6,8,0.428571428571429,"aaf","pos","cl"
"440","45",17,12,0,12,0,"aaf","pos","cl"
"441","45",20,7,3,4,0.428571428571429,"aaf","pos","cl"
"442","90",3,12,7,5,0.583333333333333,"aaf","pos","cl"
"443","90",5,14,4,10,0.285714285714286,"aaf","pos","cl"
"444","90",8,9,8,1,0.888888888888889,"aaf","pos","cl"
"445","90",11,15,5,10,0.333333333333333,"aaf","pos","cl"
"446","90",14,9,3,6,0.333333333333333,"aaf","pos","cl"
"447","90",17,11,4,7,0.363636363636364,"aaf","pos","cl"
"448","90",20,13,4,9,0.307692307692308,"aaf","pos","cl"
"449","0",3,9,6,3,0.666666666666667,"afb","pos","rt"
"450","0",5,7,5,2,0.714285714285714,"afb","pos","rt"
"451","0",8,13,8,5,0.615384615384615,"afb","pos","rt"
"452","0",11,9,4,5,0.444444444444444,"afb","pos","rt"
"453","0",14,15,6,9,0.4,"afb","pos","rt"
"454","0",17,14,5,9,0.357142857142857,"afb","pos","rt"
"455","0",20,17,7,10,0.411764705882353,"afb","pos","rt"
"456","135",3,14,12,2,0.857142857142857,"afb","pos","rt"
"457","135",5,11,9,2,0.818181818181818,"afb","pos","rt"
"458","135",8,12,7,5,0.583333333333333,"afb","pos","rt"
"459","135",11,16,10,6,0.625,"afb","pos","rt"
"460","135",14,10,7,3,0.7,"afb","pos","rt"
"461","135",17,11,5,6,0.454545454545455,"afb","pos","rt"
"462","135",20,10,3,7,0.3,"afb","pos","rt"
"463","45",3,13,10,3,0.769230769230769,"afb","pos","rt"
"464","45",5,16,13,3,0.8125,"afb","pos","rt"
"465","45",8,14,9,5,0.642857142857143,"afb","pos","rt"
"466","45",11,8,4,4,0.5,"afb","pos","rt"
"467","45",14,14,5,9,0.357142857142857,"afb","pos","rt"
"468","45",17,12,9,3,0.75,"afb","pos","rt"
"469","45",20,7,3,4,0.428571428571429,"afb","pos","rt"
"470","90",3,12,7,5,0.583333333333333,"afb","pos","rt"
"471","90",5,14,8,6,0.571428571428571,"afb","pos","rt"
"472","90",8,9,2,7,0.222222222222222,"afb","pos","rt"
"473","90",11,15,6,9,0.4,"afb","pos","rt"
"474","90",14,9,2,7,0.222222222222222,"afb","pos","rt"
"475","90",17,11,2,9,0.181818181818182,"afb","pos","rt"
"476","90",20,13,6,7,0.461538461538462,"afb","pos","rt"
"477","0",3,9,6,3,0.666666666666667,"agm","pos","cl"
"478","0",5,7,6,1,0.857142857142857,"agm","pos","cl"
"479","0",8,13,8,5,0.615384615384615,"agm","pos","cl"
"480","0",11,9,4,5,0.444444444444444,"agm","pos","cl"
"481","0",14,15,5,10,0.333333333333333,"agm","pos","cl"
"482","0",17,14,4,10,0.285714285714286,"agm","pos","cl"
"483","0",20,17,4,13,0.235294117647059,"agm","pos","cl"
"484","135",3,14,8,6,0.571428571428571,"agm","pos","cl"
"485","135",5,11,6,5,0.545454545454545,"agm","pos","cl"
"486","135",8,12,6,6,0.5,"agm","pos","cl"
"487","135",11,16,9,7,0.5625,"agm","pos","cl"
"488","135",14,10,4,6,0.4,"agm","pos","cl"
"489","135",17,11,3,8,0.272727272727273,"agm","pos","cl"
"490","135",20,10,3,7,0.3,"agm","pos","cl"
"491","45",3,13,12,1,0.923076923076923,"agm","pos","cl"
"492","45",5,16,11,5,0.6875,"agm","pos","cl"
"493","45",8,14,10,4,0.714285714285714,"agm","pos","cl"
"494","45",11,8,5,3,0.625,"agm","pos","cl"
"495","45",14,14,8,6,0.571428571428571,"agm","pos","cl"
"496","45",17,12,4,8,0.333333333333333,"agm","pos","cl"
"497","45",20,7,2,5,0.285714285714286,"agm","pos","cl"
"498","90",3,12,6,6,0.5,"agm","pos","cl"
"499","90",5,14,9,5,0.642857142857143,"agm","pos","cl"
"500","90",8,9,3,6,0.333333333333333,"agm","pos","cl"
"501","90",11,15,6,9,0.4,"agm","pos","cl"
"502","90",14,9,5,4,0.555555555555556,"agm","pos","cl"
"503","90",17,11,2,9,0.181818181818182,"agm","pos","cl"
"504","90",20,13,0,13,0,"agm","pos","cl"
"505","0",3,9,5,4,0.555555555555556,"cic","pos","rt"
"506","0",5,7,6,1,0.857142857142857,"cic","pos","rt"
"507","0",8,13,10,3,0.769230769230769,"cic","pos","rt"
"508","0",11,9,2,7,0.222222222222222,"cic","pos","rt"
"509","0",14,15,6,9,0.4,"cic","pos","rt"
"510","0",17,14,7,7,0.5,"cic","pos","rt"
"511","0",20,17,6,11,0.352941176470588,"cic","pos","rt"
"512","135",3,14,6,8,0.428571428571429,"cic","pos","rt"
"513","135",5,11,9,2,0.818181818181818,"cic","pos","rt"
"514","135",8,12,6,6,0.5,"cic","pos","rt"
"515","135",11,16,10,6,0.625,"cic","pos","rt"
"516","135",14,10,4,6,0.4,"cic","pos","rt"
"517","135",17,11,4,7,0.363636363636364,"cic","pos","rt"
"518","135",20,10,5,5,0.5,"cic","pos","rt"
"519","45",3,13,8,5,0.615384615384615,"cic","pos","rt"
"520","45",5,16,10,6,0.625,"cic","pos","rt"
"521","45",8,14,5,9,0.357142857142857,"cic","pos","rt"
"522","45",11,8,4,4,0.5,"cic","pos","rt"
"523","45",14,14,7,7,0.5,"cic","pos","rt"
"524","45",17,12,5,7,0.416666666666667,"cic","pos","rt"
"525","45",20,7,1,6,0.142857142857143,"cic","pos","rt"
"526","90",3,12,8,4,0.666666666666667,"cic","pos","rt"
"527","90",5,14,7,7,0.5,"cic","pos","rt"
"528","90",8,9,5,4,0.555555555555556,"cic","pos","rt"
"529","90",11,15,7,8,0.466666666666667,"cic","pos","rt"
"530","90",14,9,6,3,0.666666666666667,"cic","pos","rt"
"531","90",17,11,2,9,0.181818181818182,"cic","pos","rt"
"532","90",20,13,4,9,0.307692307692308,"cic","pos","rt"
"533","0",3,9,6,3,0.666666666666667,"jjr","pos","lt"
"534","0",5,7,5,2,0.714285714285714,"jjr","pos","lt"
"535","0",8,13,12,1,0.923076923076923,"jjr","pos","lt"
"536","0",11,9,5,4,0.555555555555556,"jjr","pos","lt"
"537","0",14,15,6,9,0.4,"jjr","pos","lt"
"538","0",17,14,2,12,0.142857142857143,"jjr","pos","lt"
"539","0",20,17,1,16,0.0588235294117647,"jjr","pos","lt"
"540","135",3,14,12,2,0.857142857142857,"jjr","pos","lt"
"541","135",5,11,8,3,0.727272727272727,"jjr","pos","lt"
"542","135",8,12,4,8,0.333333333333333,"jjr","pos","lt"
"543","135",11,16,5,11,0.3125,"jjr","pos","lt"
"544","135",14,10,2,8,0.2,"jjr","pos","lt"
"545","135",17,11,5,6,0.454545454545455,"jjr","pos","lt"
"546","135",20,10,2,8,0.2,"jjr","pos","lt"
"547","45",3,13,9,4,0.692307692307692,"jjr","pos","lt"
"548","45",5,16,13,3,0.8125,"jjr","pos","lt"
"549","45",8,14,8,6,0.571428571428571,"jjr","pos","lt"
"550","45",11,8,2,6,0.25,"jjr","pos","lt"
"551","45",14,14,9,5,0.642857142857143,"jjr","pos","lt"
"552","45",17,12,3,9,0.25,"jjr","pos","lt"
"553","45",20,7,1,6,0.142857142857143,"jjr","pos","lt"
"554","90",3,12,8,4,0.666666666666667,"jjr","pos","lt"
"555","90",5,14,9,5,0.642857142857143,"jjr","pos","lt"
"556","90",8,9,5,4,0.555555555555556,"jjr","pos","lt"
"557","90",11,15,8,7,0.533333333333333,"jjr","pos","lt"
"558","90",14,9,4,5,0.444444444444444,"jjr","pos","lt"
"559","90",17,11,2,9,0.181818181818182,"jjr","pos","lt"
"560","90",20,13,2,11,0.153846153846154,"jjr","pos","lt"
"561","0",3,9,7,2,0.777777777777778,"lrc","pos","cl"
"562","0",5,7,5,2,0.714285714285714,"lrc","pos","cl"
"563","0",8,13,9,4,0.692307692307692,"lrc","pos","cl"
"564","0",11,9,4,5,0.444444444444444,"lrc","pos","cl"
"565","0",14,15,6,9,0.4,"lrc","pos","cl"
"566","0",17,14,1,13,0.0714285714285714,"lrc","pos","cl"
"567","0",20,17,3,14,0.176470588235294,"lrc","pos","cl"
"568","135",3,14,10,4,0.714285714285714,"lrc","pos","cl"
"569","135",5,11,8,3,0.727272727272727,"lrc","pos","cl"
"570","135",8,12,7,5,0.583333333333333,"lrc","pos","cl"
"571","135",11,16,6,10,0.375,"lrc","pos","cl"
"572","135",14,10,1,9,0.1,"lrc","pos","cl"
"573","135",17,11,6,5,0.545454545454545,"lrc","pos","cl"
"574","135",20,10,3,7,0.3,"lrc","pos","cl"
"575","45",3,13,7,6,0.538461538461538,"lrc","pos","cl"
"576","45",5,16,9,7,0.5625,"lrc","pos","cl"
"577","45",8,14,8,6,0.571428571428571,"lrc","pos","cl"
"578","45",11,8,5,3,0.625,"lrc","pos","cl"
"579","45",14,14,6,8,0.428571428571429,"lrc","pos","cl"
"580","45",17,12,1,11,0.0833333333333333,"lrc","pos","cl"
"581","45",20,7,1,6,0.142857142857143,"lrc","pos","cl"
"582","90",3,12,11,1,0.916666666666667,"lrc","pos","cl"
"583","90",5,14,11,3,0.785714285714286,"lrc","pos","cl"
"584","90",8,9,2,7,0.222222222222222,"lrc","pos","cl"
"585","90",11,15,7,8,0.466666666666667,"lrc","pos","cl"
"586","90",14,9,3,6,0.333333333333333,"lrc","pos","cl"
"587","90",17,11,3,8,0.272727272727273,"lrc","pos","cl"
"588","90",20,13,0,13,0,"lrc","pos","cl"
"589","0",3,9,5,4,0.555555555555556,"mab","pos","lt"
"590","0",5,7,5,2,0.714285714285714,"mab","pos","lt"
"591","0",8,13,13,0,1,"mab","pos","lt"
"592","0",11,9,5,4,0.555555555555556,"mab","pos","lt"
"593","0",14,15,6,9,0.4,"mab","pos","lt"
"594","0",17,14,2,12,0.142857142857143,"mab","pos","lt"
"595","0",20,17,7,10,0.411764705882353,"mab","pos","lt"
"596","135",3,14,11,3,0.785714285714286,"mab","pos","lt"
"597","135",5,11,10,1,0.909090909090909,"mab","pos","lt"
"598","135",8,12,8,4,0.666666666666667,"mab","pos","lt"
"599","135",11,16,10,6,0.625,"mab","pos","lt"
"600","135",14,10,6,4,0.6,"mab","pos","lt"
"601","135",17,11,2,9,0.181818181818182,"mab","pos","lt"
"602","135",20,10,5,5,0.5,"mab","pos","lt"
"603","45",3,13,11,2,0.846153846153846,"mab","pos","lt"
"604","45",5,16,11,5,0.6875,"mab","pos","lt"
"605","45",8,14,13,1,0.928571428571429,"mab","pos","lt"
"606","45",11,8,7,1,0.875,"mab","pos","lt"
"607","45",14,14,7,7,0.5,"mab","pos","lt"
"608","45",17,12,8,4,0.666666666666667,"mab","pos","lt"
"609","45",20,7,2,5,0.285714285714286,"mab","pos","lt"
"610","90",3,12,11,1,0.916666666666667,"mab","pos","lt"
"611","90",5,14,11,3,0.785714285714286,"mab","pos","lt"
"612","90",8,9,7,2,0.777777777777778,"mab","pos","lt"
"613","90",11,15,14,1,0.933333333333333,"mab","pos","lt"
"614","90",14,9,4,5,0.444444444444444,"mab","pos","lt"
"615","90",17,11,6,5,0.545454545454545,"mab","pos","lt"
"616","90",20,13,4,9,0.307692307692308,"mab","pos","lt"
"617","0",3,9,7,2,0.777777777777778,"mdn","pos","lt"
"618","0",5,7,4,3,0.571428571428571,"mdn","pos","lt"
"619","0",8,13,9,4,0.692307692307692,"mdn","pos","lt"
"620","0",11,9,3,6,0.333333333333333,"mdn","pos","lt"
"621","0",14,15,5,10,0.333333333333333,"mdn","pos","lt"
"622","0",17,14,3,11,0.214285714285714,"mdn","pos","lt"
"623","0",20,17,1,16,0.0588235294117647,"mdn","pos","lt"
"624","135",3,14,10,4,0.714285714285714,"mdn","pos","lt"
"625","135",5,11,9,2,0.818181818181818,"mdn","pos","lt"
"626","135",8,12,7,5,0.583333333333333,"mdn","pos","lt"
"627","135",11,16,9,7,0.5625,"mdn","pos","lt"
"628","135",14,10,2,8,0.2,"mdn","pos","lt"
"629","135",17,11,1,10,0.0909090909090909,"mdn","pos","lt"
"630","135",20,10,3,7,0.3,"mdn","pos","lt"
"631","45",3,13,12,1,0.923076923076923,"mdn","pos","lt"
"632","45",5,16,7,9,0.4375,"mdn","pos","lt"
"633","45",8,14,7,7,0.5,"mdn","pos","lt"
"634","45",11,8,4,4,0.5,"mdn","pos","lt"
"635","45",14,14,6,8,0.428571428571429,"mdn","pos","lt"
"636","45",17,12,3,9,0.25,"mdn","pos","lt"
"637","45",20,7,1,6,0.142857142857143,"mdn","pos","lt"
"638","90",3,12,5,7,0.416666666666667,"mdn","pos","lt"
"639","90",5,14,10,4,0.714285714285714,"mdn","pos","lt"
"640","90",8,9,3,6,0.333333333333333,"mdn","pos","lt"
"641","90",11,15,7,8,0.466666666666667,"mdn","pos","lt"
"642","90",14,9,2,7,0.222222222222222,"mdn","pos","lt"
"643","90",17,11,2,9,0.181818181818182,"mdn","pos","lt"
"644","90",20,13,1,12,0.0769230769230769,"mdn","pos","lt"
"645","0",3,9,9,0,1,"msz","pos","rt"
"646","0",5,7,4,3,0.571428571428571,"msz","pos","rt"
"647","0",8,13,7,6,0.538461538461538,"msz","pos","rt"
"648","0",11,9,2,7,0.222222222222222,"msz","pos","rt"
"649","0",14,15,3,12,0.2,"msz","pos","rt"
"650","0",17,14,1,13,0.0714285714285714,"msz","pos","rt"
"651","0",20,17,3,14,0.176470588235294,"msz","pos","rt"
"652","135",3,14,13,1,0.928571428571429,"msz","pos","rt"
"653","135",5,11,5,6,0.454545454545455,"msz","pos","rt"
"654","135",8,12,4,8,0.333333333333333,"msz","pos","rt"
"655","135",11,16,6,10,0.375,"msz","pos","rt"
"656","135",14,10,1,9,0.1,"msz","pos","rt"
"657","135",17,11,1,10,0.0909090909090909,"msz","pos","rt"
"658","135",20,10,2,8,0.2,"msz","pos","rt"
"659","45",3,13,13,0,1,"msz","pos","rt"
"660","45",5,16,10,6,0.625,"msz","pos","rt"
"661","45",8,14,5,9,0.357142857142857,"msz","pos","rt"
"662","45",11,8,2,6,0.25,"msz","pos","rt"
"663","45",14,14,4,10,0.285714285714286,"msz","pos","rt"
"664","45",17,12,2,10,0.166666666666667,"msz","pos","rt"
"665","45",20,7,0,7,0,"msz","pos","rt"
"666","90",3,12,11,1,0.916666666666667,"msz","pos","rt"
"667","90",5,14,10,4,0.714285714285714,"msz","pos","rt"
"668","90",8,9,4,5,0.444444444444444,"msz","pos","rt"
"669","90",11,15,6,9,0.4,"msz","pos","rt"
"670","90",14,9,2,7,0.222222222222222,"msz","pos","rt"
"671","90",17,11,1,10,0.0909090909090909,"msz","pos","rt"
"672","90",20,13,3,10,0.230769230769231,"msz","pos","rt"
"673","0",3,9,8,1,0.888888888888889,"nga","pos","rt"
"674","0",5,7,4,3,0.571428571428571,"nga","pos","rt"
"675","0",8,13,8,5,0.615384615384615,"nga","pos","rt"
"676","0",11,9,2,7,0.222222222222222,"nga","pos","rt"
"677","0",14,15,4,11,0.266666666666667,"nga","pos","rt"
"678","0",17,14,3,11,0.214285714285714,"nga","pos","rt"
"679","0",20,17,4,13,0.235294117647059,"nga","pos","rt"
"680","135",3,14,9,5,0.642857142857143,"nga","pos","rt"
"681","135",5,11,5,6,0.454545454545455,"nga","pos","rt"
"682","135",8,12,5,7,0.416666666666667,"nga","pos","rt"
"683","135",11,16,7,9,0.4375,"nga","pos","rt"
"684","135",14,10,4,6,0.4,"nga","pos","rt"
"685","135",17,11,0,11,0,"nga","pos","rt"
"686","135",20,10,3,7,0.3,"nga","pos","rt"
"687","45",3,13,9,4,0.692307692307692,"nga","pos","rt"
"688","45",5,16,8,8,0.5,"nga","pos","rt"
"689","45",8,14,9,5,0.642857142857143,"nga","pos","rt"
"690","45",11,8,3,5,0.375,"nga","pos","rt"
"691","45",14,14,4,10,0.285714285714286,"nga","pos","rt"
"692","45",17,12,2,10,0.166666666666667,"nga","pos","rt"
"693","45",20,7,2,5,0.285714285714286,"nga","pos","rt"
"694","90",3,12,8,4,0.666666666666667,"nga","pos","rt"
"695","90",5,14,8,6,0.571428571428571,"nga","pos","rt"
"696","90",8,9,2,7,0.222222222222222,"nga","pos","rt"
"697","90",11,15,4,11,0.266666666666667,"nga","pos","rt"
"698","90",14,9,5,4,0.555555555555556,"nga","pos","rt"
"699","90",17,11,3,8,0.272727272727273,"nga","pos","rt"
"700","90",20,13,7,6,0.538461538461538,"nga","pos","rt"
"701","0",3,9,7,2,0.777777777777778,"pab","pos","cl"
"702","0",5,7,7,0,1,"pab","pos","cl"
"703","0",8,13,11,2,0.846153846153846,"pab","pos","cl"
"704","0",11,9,7,2,0.777777777777778,"pab","pos","cl"
"705","0",14,15,10,5,0.666666666666667,"pab","pos","cl"
"706","0",17,14,6,8,0.428571428571429,"pab","pos","cl"
"707","0",20,17,8,9,0.470588235294118,"pab","pos","cl"
"708","135",3,14,13,1,0.928571428571429,"pab","pos","cl"
"709","135",5,11,11,0,1,"pab","pos","cl"
"710","135",8,12,12,0,1,"pab","pos","cl"
"711","135",11,16,10,6,0.625,"pab","pos","cl"
"712","135",14,10,3,7,0.3,"pab","pos","cl"
"713","135",17,11,1,10,0.0909090909090909,"pab","pos","cl"
"714","135",20,10,1,9,0.1,"pab","pos","cl"
"715","45",3,13,12,1,0.923076923076923,"pab","pos","cl"
"716","45",5,16,15,1,0.9375,"pab","pos","cl"
"717","45",8,14,11,3,0.785714285714286,"pab","pos","cl"
"718","45",11,8,7,1,0.875,"pab","pos","cl"
"719","45",14,14,6,8,0.428571428571429,"pab","pos","cl"
"720","45",17,12,5,7,0.416666666666667,"pab","pos","cl"
"721","45",20,7,3,4,0.428571428571429,"pab","pos","cl"
"722","90",3,12,10,2,0.833333333333333,"pab","pos","cl"
"723","90",5,14,14,0,1,"pab","pos","cl"
"724","90",8,9,8,1,0.888888888888889,"pab","pos","cl"
"725","90",11,15,6,9,0.4,"pab","pos","cl"
"726","90",14,9,5,4,0.555555555555556,"pab","pos","cl"
"727","90",17,11,5,6,0.454545454545455,"pab","pos","cl"
"728","90",20,13,4,9,0.307692307692308,"pab","pos","cl"
"729","0",3,12,12,0,1,"at-","pos","hk"
"730","0",5,12,10,2,0.833333333333333,"at-","pos","hk"
"731","0",8,12,12,0,1,"at-","pos","hk"
"732","0",11,12,10,2,0.833333333333333,"at-","pos","hk"
"733","0",14,12,5,7,0.416666666666667,"at-","pos","hk"
"734","0",17,12,8,4,0.666666666666667,"at-","pos","hk"
"735","0",20,12,5,7,0.416666666666667,"at-","pos","hk"
"736","45",3,12,12,0,1,"at-","pos","hk"
"737","45",5,12,9,3,0.75,"at-","pos","hk"
"738","45",8,12,8,4,0.666666666666667,"at-","pos","hk"
"739","45",11,11,10,1,0.909090909090909,"at-","pos","hk"
"740","45",14,12,5,7,0.416666666666667,"at-","pos","hk"
"741","45",17,12,5,7,0.416666666666667,"at-","pos","hk"
"742","45",20,12,4,8,0.333333333333333,"at-","pos","hk"
"743","90",3,12,10,2,0.833333333333333,"at-","pos","hk"
"744","90",5,12,11,1,0.916666666666667,"at-","pos","hk"
"745","90",8,12,10,2,0.833333333333333,"at-","pos","hk"
"746","90",11,12,8,4,0.666666666666667,"at-","pos","hk"
"747","90",14,12,9,3,0.75,"at-","pos","hk"
"748","90",17,12,7,5,0.583333333333333,"at-","pos","hk"
"749","90",20,12,4,8,0.333333333333333,"at-","pos","hk"
"750","135",3,12,11,1,0.916666666666667,"at-","pos","hk"
"751","135",5,12,9,3,0.75,"at-","pos","hk"
"752","135",8,12,9,3,0.75,"at-","pos","hk"
"753","135",11,12,6,6,0.5,"at-","pos","hk"
"754","135",14,12,7,5,0.583333333333333,"at-","pos","hk"
"755","135",17,12,7,5,0.583333333333333,"at-","pos","hk"
"756","135",20,12,5,7,0.416666666666667,"at-","pos","hk"
"757","0",3,12,11,1,0.916666666666667,"lfa","pos","hk"
"758","0",5,12,11,1,0.916666666666667,"lfa","pos","hk"
"759","0",8,12,10,2,0.833333333333333,"lfa","pos","hk"
"760","0",11,12,8,4,0.666666666666667,"lfa","pos","hk"
"761","0",14,12,6,6,0.5,"lfa","pos","hk"
"762","0",17,12,4,8,0.333333333333333,"lfa","pos","hk"
"763","0",20,12,4,8,0.333333333333333,"lfa","pos","hk"
"764","45",3,12,10,2,0.833333333333333,"lfa","pos","hk"
"765","45",5,12,7,5,0.583333333333333,"lfa","pos","hk"
"766","45",8,12,7,5,0.583333333333333,"lfa","pos","hk"
"767","45",11,11,7,4,0.636363636363636,"lfa","pos","hk"
"768","45",14,12,3,9,0.25,"lfa","pos","hk"
"769","45",17,12,2,10,0.166666666666667,"lfa","pos","hk"
"770","45",20,12,5,7,0.416666666666667,"lfa","pos","hk"
"771","90",3,12,9,3,0.75,"lfa","pos","hk"
"772","90",5,12,9,3,0.75,"lfa","pos","hk"
"773","90",8,12,9,3,0.75,"lfa","pos","hk"
"774","90",11,12,6,6,0.5,"lfa","pos","hk"
"775","90",14,12,4,8,0.333333333333333,"lfa","pos","hk"
"776","90",17,12,3,9,0.25,"lfa","pos","hk"
"777","90",20,12,3,9,0.25,"lfa","pos","hk"
"778","135",3,12,12,0,1,"lfa","pos","hk"
"779","135",5,12,7,5,0.583333333333333,"lfa","pos","hk"
"780","135",8,12,7,5,0.583333333333333,"lfa","pos","hk"
"781","135",11,12,8,4,0.666666666666667,"lfa","pos","hk"
"782","135",14,12,3,9,0.25,"lfa","pos","hk"
"783","135",17,12,5,7,0.416666666666667,"lfa","pos","hk"
"784","135",20,12,3,9,0.25,"lfa","pos","hk"
"785","0",3,12,9,3,0.75,"lms","pos","hk"
"786","0",5,12,9,3,0.75,"lms","pos","hk"
"787","0",8,12,9,3,0.75,"lms","pos","hk"
"788","0",11,12,8,4,0.666666666666667,"lms","pos","hk"
"789","0",14,12,4,8,0.333333333333333,"lms","pos","hk"
"790","0",17,12,5,7,0.416666666666667,"lms","pos","hk"
"791","0",20,12,6,6,0.5,"lms","pos","hk"
"792","45",3,12,11,1,0.916666666666667,"lms","pos","hk"
"793","45",5,12,9,3,0.75,"lms","pos","hk"
"794","45",8,12,6,6,0.5,"lms","pos","hk"
"795","45",11,11,6,5,0.545454545454545,"lms","pos","hk"
"796","45",14,12,2,10,0.166666666666667,"lms","pos","hk"
"797","45",17,12,4,8,0.333333333333333,"lms","pos","hk"
"798","45",20,12,4,8,0.333333333333333,"lms","pos","hk"
"799","90",3,12,8,4,0.666666666666667,"lms","pos","hk"
"800","90",5,12,11,1,0.916666666666667,"lms","pos","hk"
"801","90",8,12,9,3,0.75,"lms","pos","hk"
"802","90",11,12,10,2,0.833333333333333,"lms","pos","hk"
"803","90",14,12,5,7,0.416666666666667,"lms","pos","hk"
"804","90",17,12,4,8,0.333333333333333,"lms","pos","hk"
"805","90",20,12,3,9,0.25,"lms","pos","hk"
"806","135",3,12,7,5,0.583333333333333,"lms","pos","hk"
"807","135",5,12,9,3,0.75,"lms","pos","hk"
"808","135",8,12,7,5,0.583333333333333,"lms","pos","hk"
"809","135",11,12,3,9,0.25,"lms","pos","hk"
"810","135",14,12,5,7,0.416666666666667,"lms","pos","hk"
"811","135",17,12,5,7,0.416666666666667,"lms","pos","hk"
"812","135",20,12,2,10,0.166666666666667,"lms","pos","hk"
"813","0",3,12,12,0,1,"mcm","pos","hk"
"814","0",5,12,9,3,0.75,"mcm","pos","hk"
"815","0",8,12,8,4,0.666666666666667,"mcm","pos","hk"
"816","0",11,12,5,7,0.416666666666667,"mcm","pos","hk"
"817","0",14,12,5,7,0.416666666666667,"mcm","pos","hk"
"818","0",17,12,6,6,0.5,"mcm","pos","hk"
"819","0",20,12,0,12,0,"mcm","pos","hk"
"820","45",3,12,9,3,0.75,"mcm","pos","hk"
"821","45",5,12,8,4,0.666666666666667,"mcm","pos","hk"
"822","45",8,12,6,6,0.5,"mcm","pos","hk"
"823","45",11,11,7,4,0.636363636363636,"mcm","pos","hk"
"824","45",14,12,4,8,0.333333333333333,"mcm","pos","hk"
"825","45",17,12,2,10,0.166666666666667,"mcm","pos","hk"
"826","45",20,12,5,7,0.416666666666667,"mcm","pos","hk"
"827","90",3,12,8,4,0.666666666666667,"mcm","pos","hk"
"828","90",5,12,9,3,0.75,"mcm","pos","hk"
"829","90",8,12,6,6,0.5,"mcm","pos","hk"
"830","90",11,12,6,6,0.5,"mcm","pos","hk"
"831","90",14,12,4,8,0.333333333333333,"mcm","pos","hk"
"832","90",17,12,5,7,0.416666666666667,"mcm","pos","hk"
"833","90",20,12,6,6,0.5,"mcm","pos","hk"
"834","135",3,12,8,4,0.666666666666667,"mcm","pos","hk"
"835","135",5,12,10,2,0.833333333333333,"mcm","pos","hk"
"836","135",8,12,5,7,0.416666666666667,"mcm","pos","hk"
"837","135",11,12,7,5,0.583333333333333,"mcm","pos","hk"
"838","135",14,12,5,7,0.416666666666667,"mcm","pos","hk"
"839","135",17,12,4,8,0.333333333333333,"mcm","pos","hk"
"840","135",20,12,2,10,0.166666666666667,"mcm","pos","hk"
